exchange_number,s_word_len,l_word_len,empathy
2,14,27,3
1,9,8,2
2,17,10,3
1,18,6,1
1,8,16,1
1,6,15,2
1,11,7,3
2,8,5,1
1,17,11,1
1,17,11,3
2,21,20,2
1,18,16,3
1,15,6,1
1,16,10,2
2,26,23,3
2,40,43,3
1,19,8,1
2,24,10,3
1,14,6,3
1,19,5,3
2,10,13,1
1,10,3,1
1,48,17,3
2,32,11,2
3,13,16,3
2,18,12,3
2,10,9,3
2,9,6,3
1,13,9,1
2,20,12,3
2,17,15,1
2,7,6,3
1,12,12,3
1,11,4,1
2,8,15,2
2,5,13,3
1,28,5,3
2,13,6,3
2,4,19,1
2,8,6,3
1,15,10,2
1,35,8,3
2,24,6,3
1,10,11,3
1,18,24,3
2,13,7,3
2,18,13,3
4,8,9,3
2,18,21,2
2,8,7,3
1,24,12,3
2,11,15,3
2,10,12,3
2,13,9,3
2,14,19,3
1,12,2,2
2,11,24,3
1,19,4,2
1,14,5,1
2,20,13,3
2,30,4,3
3,34,30,2
2,23,5,2
1,24,15,3
1,53,5,1
1,31,24,3
1,9,11,3
1,6,5,3
2,21,14,3
1,8,16,3
2,7,8,3
2,24,12,3
2,5,15,3
2,18,11,2
1,8,13,3
1,12,4,3
1,10,8,3
1,18,15,2
4,17,39,3
2,22,10,3
2,18,13,3
3,28,8,1
1,19,16,3
1,52,13,2
2,17,10,1
2,22,17,1
2,14,9,3
2,14,12,1
1,6,14,3
2,34,17,3
1,24,4,2
2,12,6,3
1,19,15,3
2,11,14,3
2,9,6,3
2,23,23,3
2,19,19,2
1,13,11,3
2,9,4,3
1,16,8,1
2,16,17,3
1,33,17,3
1,21,7,3
2,15,14,3
2,16,21,3
2,15,5,2
1,7,7,3
1,14,4,3
1,9,8,2
2,11,6,3
2,23,18,3
1,28,5,1
1,19,5,2
1,23,7,2
1,12,11,3
1,11,8,3
1,13,9,1
2,24,5,3
1,9,4,3
2,6,7,2
1,10,7,1
2,6,8,1
3,12,8,3
2,1,3,1
2,16,3,1
2,30,8,1
1,16,2,2
1,12,7,3
1,11,68,3
2,27,12,3
2,8,4,3
2,10,17,3
3,26,29,3
1,22,12,3
1,14,8,3
1,21,16,2
2,17,2,3
1,9,12,1
1,19,11,3
1,16,19,3
1,25,19,3
2,11,57,3
2,7,13,3
4,10,8,3
2,26,8,2
1,16,3,3
2,20,6,1
1,20,27,3
1,16,6,3
2,9,15,2
2,9,13,3
3,11,8,3
2,10,10,3
2,9,9,3
2,10,30,3
2,31,6,2
3,6,11,3
1,9,10,2
1,13,13,3
2,9,9,3
1,29,4,1
1,51,14,2
2,19,15,3
1,11,5,3
2,15,11,3
2,7,12,3
1,17,17,3
1,32,5,3
2,12,17,3
2,13,6,3
1,24,7,3
2,11,1,3
1,13,10,2
2,15,18,3
2,28,7,3
1,35,14,3
1,8,7,3
1,13,7,1
2,23,19,3
2,16,9,1
1,41,13,1
1,20,9,3
2,34,23,3
1,11,6,3
2,5,20,1
2,9,12,3
1,25,27,3
2,26,8,1
2,36,18,1
1,7,9,3
1,28,12,2
1,22,7,3
2,46,49,3
2,15,4,3
1,8,7,3
1,17,11,3
3,18,6,3
2,10,8,3
2,18,7,3
2,12,6,3
2,16,10,2
3,13,2,3
1,20,10,3
2,30,7,3
1,12,15,3
1,12,12,3
1,11,14,2
1,8,5,2
1,29,7,3
2,9,7,2
1,9,8,3
2,7,9,3
1,9,20,3
2,12,11,1
2,31,27,2
1,10,4,3
1,24,7,3
1,6,3,1
2,8,10,1
2,24,5,1
2,16,6,1
4,22,9,3
1,25,13,1
2,7,6,3
1,28,18,2
2,18,18,2
1,19,7,3
1,38,8,1
2,5,6,3
2,12,7,1
2,11,11,3
2,23,24,3
2,23,23,3
2,7,19,3
1,48,7,1
2,5,11,3
1,15,5,1
2,8,15,2
2,20,18,2
1,14,6,3
2,15,7,2
2,8,12,3
2,15,19,2
2,11,11,3
2,24,18,3
2,13,13,3
2,15,7,2
1,24,10,3
2,9,16,3
2,43,12,1
1,17,13,3
2,4,6,3
2,17,5,3
2,45,16,3
2,5,6,3
1,14,6,3
2,2,13,3
1,4,12,3
2,7,11,3
4,18,14,3
1,20,9,3
4,7,4,2
1,14,1,3
4,8,5,3
2,16,12,1
1,12,6,2
2,11,29,3
1,23,7,2
1,19,4,3
3,3,2,3
2,6,10,1
1,20,14,3
1,11,7,3
1,13,7,3
2,9,9,3
2,24,11,3
2,6,11,3
1,8,5,1
1,11,10,3
1,11,4,2
1,16,11,3
1,14,13,3
1,16,12,3
1,14,10,3
2,3,28,3
1,10,13,3
2,4,8,3
2,11,16,3
1,13,20,3
1,33,5,1
2,20,48,3
2,23,8,3
1,12,22,3
2,8,9,1
2,13,10,3
1,11,13,3
2,30,16,3
1,10,18,3
1,9,7,3
1,13,7,2
1,17,11,1
1,12,9,3
2,8,5,3
2,8,12,1
1,2,1,2
1,8,3,3
1,7,4,3
1,12,19,1
1,20,4,3
1,10,15,2
1,14,10,2
2,21,10,1
2,5,9,3
2,13,11,3
1,6,13,1
2,24,17,3
2,21,30,3
2,20,12,2
1,7,3,2
1,9,12,3
3,2,6,3
2,15,19,3
2,15,3,3
1,14,9,2
1,16,31,2
1,38,10,1
2,9,9,3
2,22,7,3
1,34,15,3
2,6,5,2
1,23,6,1
1,30,4,2
1,17,18,3
2,14,3,3
1,8,6,3
4,9,16,3
1,7,5,2
2,28,3,3
2,27,12,2
1,11,12,3
1,25,6,3
3,33,8,3
2,15,22,1
2,5,15,1
1,18,8,3
3,16,15,3
2,11,15,2
1,32,14,2
2,20,9,1
2,10,4,1
1,7,5,1
2,8,3,1
2,7,11,2
2,20,6,3
1,14,16,3
1,37,8,3
2,11,16,3
1,8,7,3
2,24,33,3
1,12,9,3
1,16,8,2
1,21,11,3
1,13,25,1
1,13,7,3
1,22,24,2
1,17,5,3
1,20,11,3
1,12,45,1
1,14,8,3
2,19,17,3
2,7,8,3
3,18,8,3
2,3,7,1
1,20,3,2
1,19,6,3
2,9,18,3
1,12,7,3
1,19,18,3
2,8,12,1
1,4,13,2
1,23,9,1
1,15,4,3
1,13,15,3
2,11,14,2
1,11,1,1
1,16,8,1
2,36,13,2
1,12,14,3
1,11,6,3
2,9,18,3
2,8,3,1
1,20,7,3
1,13,16,3
1,10,7,1
2,18,11,3
