conv_id,context,prompt,speaker_utterance,listener_utterance,exchange_number,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,speaker_emotion,listener_emotion,mimicry,empathy
hit:12225_conv:24451,lonely,When my wife and son are gone from me_comma_ i dont like it.,I hate when my wife and son are away from me,I bet it gets lonely,1,0.975964,0.021465445,0.0025705476,0.61042285,0.3590813,0.030495828,0,0,0,0.139333333333333,0.198,0.0273333333333333,-0.0833333333333333,0.012,-0.108666666666667,11,5,0.0022005937062203,0.942064642906189,0.0537636391818523,0.000536834122613,0.0001353467669105,0.0002001879474846,0.0001366321084788,0.0005941597628407,0.0003679445071611,lonely,lonely,0,1
hit:12225_conv:24451,lonely,When my wife and son are gone from me_comma_ i dont like it.,No doubt_comma_ and there are too many crazy people in the world,Yes there are. Cannot trust anyone these days.,2,0.91519713,0.078373194,0.006429728,0.9125285,0.08249871,0.004972899,0,0,0,-0.1115,-0.0059999999999999,-0.099,0.607,-0.184,0.13,12,8,0.0096081718802452,0.0550538562238216,0.0007348480867221,0.000173358086613,6.84843616909348e-05,0.0001544514379929,0.0001687193871475,0.0012364638969302,0.93280166387558,embarrassed,trusting,0,1
hit:8408_conv:16816,afraid,For the last three nights I've been hearing really creepy sounds just outside of my bedroom window. I'm not sure what it is but it's scaring me.,For the last few nights I have heard weird sounds outside my bedroom window.,Oh no! Do you think it is a wild animal?,1,0.71593446,0.27305242,0.011013171,0.7790891,0.21165171,0.009259194,0,0,2,0.222,-0.12,-0.109,0.1445,0.194,0.2085,14,10,8.54717145557515e-05,4.92604303872213e-05,7.05387574271299e-05,2.18103305087425e-05,0.0001820816105464,0.0033532136585563,0.995745003223419,0.0001891273859655,0.0003034715482499,afraid,sentimental,0,2
hit:8408_conv:16816,afraid,For the last three nights I've been hearing really creepy sounds just outside of my bedroom window. I'm not sure what it is but it's scaring me.,I do not think so_comma_ it does not sound like any animal I recognize. It is really creepy.,I hope it is not a crazy person or worse_comma_ an alien waiting to abduct you!,2,0.9652133,0.031862292,0.0029244435,0.6203575,0.3436649,0.035977557,1,0,0,0.241714285714286,0.0337142857142857,-0.0045714285714285,-0.253428571428571,0.114571428571429,-0.0514285714285714,18,16,0.0001089857323677,0.0002524220908526,0.0007989970617927,0.995874106884003,0.0008752687717787,0.001278209965676,0.0005475364159792,4.30409600085113e-05,0.0002213937696069,afraid,anxious,0,2
hit:2984_conv:5968,caring,I love spending time and helping oout my grandma,I love spending time and helping out my grandma,That is kind of you,1,0.002178263,0.012667771,0.985154,0.05703008,0.535949,0.40702096,0,1,0,0.3665,-0.2145,0.0515,0.836,-0.52,0.236,9,5,0.0007631508051417,0.997268974781036,0.0001915293978527,0.0007035089074634,0.0002173288958147,1.35926056827884e-05,0.0002450013998895,0.0003356557281222,0.0002612454700283,caring,grateful,1,1
hit:2984_conv:5968,caring,I love spending time and helping oout my grandma,She is so fun to be around too,I bet she really appreciates you,2,0.0020954397,0.015323645,0.98258096,0.0023952585,0.05574716,0.9418575,1,0,0,0.588,0.083,0.221,0.15,0.198,0.088,8,6,0.0066906255669891,0.0308430194854736,0.880429208278656,0.0004646828456316,0.0004000620683655,0.0013213768834248,0.0007127491990104,0.0761002823710442,0.0030380613170564,joyful,trusting,1,1
hit:5399_conv:10799,sentimental,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,Is she far away from you now?,1,0.81253237,0.17189902,0.015568674,0.18786098,0.7896728,0.022466235,0,0,2,0.0625,-0.3325,-0.2455,0.0,0.0,0.0,18,7,6.67362328385934e-05,6.08264781476464e-05,3.16162149829324e-05,1.6325713659171e-05,0.0001406493101967,0.0003999775799456,0.998952269554138,0.0002024724381044,0.0001291361404582,sentimental,sad,0,3
hit:5399_conv:10799,sentimental,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,Yea. She is going to grad school across the country now.,Oh_comma_ can you go across there and visit her?,2,0.107146524,0.80888677,0.08396671,0.019279223,0.887517,0.09320379,0,0,2,0.51,-0.1165,0.2655,0.281,-0.116,-0.111,11,9,0.0001399582397425,4.48002829216421e-05,0.0001089133511413,0.0002825150731951,0.0004614889039658,0.110086731612682,0.887864172458649,0.0004107705608475,0.0006006563780829,faithful,nostalgic,1,3
hit:2760_conv:5521,furious,when a car almost hit me_comma_ on the interstate.,I swear traffic is the worst in this city. I was almost in a car accident on the interstate going 80 MPH the other ady with my baby in the car.,Wow you too! It is crazy how many bad drivers there are.,1,0.96606654,0.02959652,0.0043369136,0.81844884,0.14718272,0.034368474,2,0,0,0.172666666666667,0.0428888888888889,-0.0368888888888889,-0.444,0.337333333333333,-0.112666666666667,31,12,0.0210536681115627,0.949900805950165,0.0030732275918126,0.00064917455893,0.000356535980245,2.71139724645764e-05,0.0025773162487894,0.0010224732104688,0.0213398523628712,angry,impressed,0,3
hit:2760_conv:5521,furious,when a car almost hit me_comma_ on the interstate.,I know for real she was literally right beside me_comma_ didnt even look once and just swerved right into my lane - luckily there was no one beside me because i had to swerve to avoid her hitting me it was intense.,Well I am glad you were not hurt.,2,0.10093709,0.44590753,0.4531553,0.02796852,0.22665033,0.7453812,1,0,0,0.189090909090909,-0.0969090909090909,0.163818181818182,0.0,0.533,0.031,42,8,0.0002857169019989,0.0004632579803001,1.7468648366048e-05,4.75142478535418e-05,3.25674845953472e-05,5.30409633938689e-05,6.08642731094733e-05,2.12552586162929e-05,0.999018311500549,prepared,grateful,0,3
