conv_id,context,prompt,empathy,speaker_utterance,listener_utterance,exchange_number,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,speaker_emotion,listener_emotion,mimicry
hit:12225_conv:24451,lonely,When my wife and son are gone from me_comma_ i dont like it.,2,I hate when my wife and son are away from me,I bet it gets lonely,1,0.975964,0.021465445,0.0025705476,0.61042285,0.3590813,0.030495828,0,0,0,0.139333333333333,0.198,0.0273333333333333,-0.0833333333333333,0.012,-0.108666666666667,11,5,0.00220059370622039,0.942064642906189,0.0537636391818523,0.000536834122613072,0.000135346766910516,0.000200187947484665,0.000136632108478807,0.000594159762840718,0.000367944507161155,lonely,lonely,0
hit:12225_conv:24451,lonely,When my wife and son are gone from me_comma_ i dont like it.,2,No doubt_comma_ and there are too many crazy people in the world,Yes there are. Cannot trust anyone these days.,2,0.91519713,0.078373194,0.006429728,0.9125285,0.08249871,0.004972899,0,0,0,-0.1115,-0.00599999999999998,-0.099,0.607,-0.184,0.13,12,8,0.00960817188024521,0.0550538562238216,0.000734848086722195,0.000173358086613007,6.84843616909348E-05,0.000154451437992975,0.000168719387147576,0.00123646389693022,0.93280166387558,embarrassed,trusting,0
hit:8408_conv:16816,afraid,For the last three nights I've been hearing really creepy sounds just outside of my bedroom window. I'm not sure what it is but it's scaring me.,3,For the last few nights I have heard weird sounds outside my bedroom window.,Oh no! Do you think it is a wild animal?,1,0.71593446,0.27305242,0.011013171,0.7790891,0.21165171,0.009259194,0,0,2,0.222,-0.12,-0.109,0.1445,0.194,0.2085,14,10,8.54717145557515E-05,4.92604303872213E-05,7.05387574271299E-05,2.18103305087425E-05,0.000182081610546447,0.00335321365855634,0.995745003223419,0.000189127385965548,0.000303471548249945,afraid,sentimental,0
hit:8408_conv:16816,afraid,For the last three nights I've been hearing really creepy sounds just outside of my bedroom window. I'm not sure what it is but it's scaring me.,3,I do not think so_comma_ it does not sound like any animal I recognize. It is really creepy.,I hope it is not a crazy person or worse_comma_ an alien waiting to abduct you!,2,0.9652133,0.031862292,0.0029244435,0.6203575,0.3436649,0.035977557,1,0,0,0.241714285714286,0.0337142857142857,-0.00457142857142857,-0.253428571428571,0.114571428571429,-0.0514285714285714,18,16,0.000108985732367728,0.000252422090852633,0.000798997061792761,0.995874106884003,0.000875268771778792,0.00127820996567607,0.000547536415979266,4.30409600085113E-05,0.000221393769606948,afraid,anxious,0
hit:2984_conv:5968,caring,I love spending time and helping oout my grandma,2,I love spending time and helping out my grandma,That is kind of you,1,0.002178263,0.012667771,0.985154,0.05703008,0.535949,0.40702096,0,1,0,0.3665,-0.2145,0.0515,0.836,-0.52,0.236,9,5,0.000763150805141777,0.997268974781036,0.000191529397852719,0.000703508907463402,0.000217328895814717,1.35926056827884E-05,0.000245001399889588,0.000335655728122219,0.000261245470028371,caring,grateful,1
hit:2984_conv:5968,caring,I love spending time and helping oout my grandma,2,She is so fun to be around too,I bet she really appreciates you,2,0.0020954397,0.015323645,0.98258096,0.0023952585,0.05574716,0.9418575,1,0,0,0.588,0.083,0.221,0.15,0.198,0.088,8,6,0.00669062556698918,0.0308430194854736,0.880429208278656,0.000464682845631614,0.000400062068365514,0.00132137688342482,0.000712749199010432,0.0761002823710442,0.00303806131705642,joyful,trusting,1
hit:5399_conv:10799,sentimental,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,4,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,Is she far away from you now?,1,0.81253237,0.17189902,0.015568674,0.18786098,0.7896728,0.022466235,0,0,2,0.0625,-0.3325,-0.2455,0,0,0,18,7,6.67362328385934E-05,6.08264781476464E-05,3.16162149829324E-05,1.6325713659171E-05,0.00014064931019675,0.000399977579945698,0.998952269554138,0.000202472438104451,0.000129136140458286,sentimental,sad,0
hit:5399_conv:10799,sentimental,My former roomate left her cat keychain here. We fought a lot_comma_ but I kinda miss her now.,4,Yea. She is going to grad school across the country now.,Oh_comma_ can you go across there and visit her?,2,0.107146524,0.80888677,0.08396671,0.019279223,0.887517,0.09320379,0,0,2,0.51,-0.1165,0.2655,0.281,-0.116,-0.111,11,9,0.000139958239742555,4.48002829216421E-05,0.000108913351141382,0.0002825150731951,0.000461488903965801,0.110086731612682,0.887864172458649,0.000410770560847595,0.000600656378082931,faithful,nostalgic,1
hit:2760_conv:5521,furious,when a car almost hit me_comma_ on the interstate.,5,I swear traffic is the worst in this city. I was almost in a car accident on the interstate going 80 MPH the other ady with my baby in the car.,Wow you too! It is crazy how many bad drivers there are.,1,0.96606654,0.02959652,0.0043369136,0.81844884,0.14718272,0.034368474,2,0,0,0.172666666666667,0.0428888888888889,-0.0368888888888889,-0.444,0.337333333333333,-0.112666666666667,31,12,0.0210536681115627,0.949900805950165,0.00307322759181261,0.000649174558930099,0.000356535980245098,2.71139724645764E-05,0.00257731624878943,0.00102247321046889,0.0213398523628712,angry,impressed,0
hit:2760_conv:5521,furious,when a car almost hit me_comma_ on the interstate.,5,I know for real she was literally right beside me_comma_ didnt even look once and just swerved right into my lane - luckily there was no one beside me because i had to swerve to avoid her hitting me it was intense.,Well I am glad you were not hurt.,2,0.10093709,0.44590753,0.4531553,0.02796852,0.22665033,0.7453812,1,0,0,0.189090909090909,-0.0969090909090909,0.163818181818182,0,0.533,0.031,42,8,0.000285716901998967,0.000463257980300114,1.7468648366048E-05,4.75142478535418E-05,3.25674845953472E-05,5.30409633938689E-05,6.08642731094733E-05,2.12552586162929E-05,0.999018311500549,prepared,grateful,0
hit:12258_conv:24516,lonely,Sometimes I feel like I'm alone for no reason,5,I have been processing what being lonely feels like_comma_ because I want to be able to have fun by myself sometimes,I think that is a good idea so you are not always dependent on others to have fun and just enjoy time to yourself.,1,0.100616395,0.4994583,0.3999253,0.0046026916,0.07083738,0.92455995,0,0,0,0.4112,-0.0084,0.1612,0.5165,0.00350000000000002,0.21975,21,24,0.00102325330954045,0.00717867212370038,6.12792864558287E-05,1.34570509544574E-05,5.79559673496988E-05,0.000732059008441865,0.000448148959549144,0.000771708553656936,0.989713430404663,lonely,hopeful,1
hit:12258_conv:24516,lonely,Sometimes I feel like I'm alone for no reason,5,True_comma_ and I have felt that way before_comma_ but sometimes like a wave of those kinds of feelings hits like I am not worthy enough and stuff like that_comma_ but it is all good,Meditation on goals and positive ideas during some of that alone time can be so uplifting and refocuses you.,2,0.18947163,0.49411243,0.31641588,0.0016266775,0.053320404,0.9450529,0,0,0,0.404461538461539,-0.191846153846154,0.0787692307692308,0.42575,-0.30825,0.1725,34,19,0.000949600362218916,0.864997565746307,0.000552256125956774,0.127451479434967,0.000415404734667391,0.00046607296098955,0.00272929039783776,0.000673030794132501,0.00176531437318772,excited,disappointed,1
hit:2788_conv:5576,guilty,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...,3,Sometimes I will forget to feed my dog. I cannot help but feel bad about it...,That is not good at all,1,0.840945,0.13951504,0.019539952,0.9737076,0.023077056,0.0032152825,0,0,0,0.178857142857143,-0.0237142857142857,0.00542857142857143,0.876,-0.264,0.068,16,6,0.00219090282917023,0.743451774120331,0.00187226640991867,0.00446736626327038,0.000353275623638183,7.18883384251967E-05,0.000201484173885547,0.246295213699341,0.0010958161437884,guilty,sad,1
hit:2788_conv:5576,guilty,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...,3,Yeah I feel super guilty,Cannot you just leave food out? Or set an alarm on your phone?,2,0.8952786,0.09476936,0.009952041,0.39587128,0.5749654,0.029163292,0,0,2,0.187333333333333,0.356666666666667,0.152,0.1016,-0.0612,0.0272,5,13,5.64151559956372E-05,4.39405266661197E-05,4.26419355790131E-05,1.90085738722701E-05,0.000179827082320116,0.000819178996607661,0.998441278934479,0.000157514863531105,0.000240202774875797,guilty,annoyed,0
hit:11354_conv:22708,faithful,my friend told me a secret,4,my friend told me a secret,Was it a good one? Did you keep it?,1,0.078413695,0.8536459,0.06794033,0.02315611,0.78512454,0.19171932,0,0,2,0.385,-0.00699999999999999,0.082,0.462666666666667,-0.362666666666667,-0.0326666666666667,6,9,7.2519680543337E-05,4.73099498776719E-05,4.27351042162627E-05,2.04300449695438E-05,0.000588548311498016,0.000385679537430406,0.997877359390259,0.000241732035647146,0.000723721808753908,trusting,impressed,1
hit:11354_conv:22708,faithful,my friend told me a secret,4,yes_comma_ i did keep it. im holding it for a couple more days.,Is someone getting married_comma_ or a baby?,2,0.007092447,0.34898245,0.6439251,0.0827579,0.8863676,0.03087446,0,0,2,0.4195,-0.2225,0.1065,0.511,-0.065,0.057,13,7,0.000116682080260944,6.13740121480078E-05,4.32256420026533E-05,9.300941019319E-05,0.000239881643210538,0.0225618369877338,0.976474940776825,0.000186652076081373,0.000222420305362903,prepared,excited,1
hit:11354_conv:22708,faithful,my friend told me a secret,4,lol_comma_ its one of the them,Well tell them I said Congrats on whatever it is. As long as it is not a baby marriage.,3,0.068977654,0.7571528,0.17386952,0.032231275,0.4403693,0.5273995,1,0,0,0.084,-0.416,-0.26,0.4812,-0.0088,0.192,6,19,0.00960957910865545,0.988663971424103,0.00027144278283231,0.000453558546723798,6.8582347012125E-05,0.000159566741785966,0.000153794899233617,0.000524826056789607,9.4706927484367E-05,nostalgic,caring,0
hit:11354_conv:22708,faithful,my friend told me a secret,4,lol.. i will this weekend. i never hold secrets. im doing a great job,Keep it secret_comma_ Keep it safe....,4,0.003879685,0.044620566,0.9514997,0.053363636,0.7854767,0.16115971,0,0,0,0.373666666666667,0.0363333333333333,0.218,0.4025,-0.261,0.181,14,6,0.0383271984755993,0.177023679018021,0.000958389777224511,0.120380073785782,0.000313139869831502,0.497559785842896,0.0412558391690254,0.000648931541945785,0.123533003032207,confident,anxious,1
hit:12330_conv:24661,lonely,My friends went on vacation without me.,5,My friends went on vacation without me_comma_ and now I have no one to hang out with for 3 weeks.,That sucks_comma_ I am sorry to hear it. Did they at least ask you first?,1,0.7986765,0.1848801,0.016443392,0.8953013,0.09523291,0.00946578,2,0,2,0.2484,-0.218,-0.0648,0.0664,-0.0252,-0.088,20,15,0.000355522526660934,0.000134486152091995,7.27644292055629E-05,0.000448141363449395,0.904305458068848,0.00513263093307614,0.0885693207383156,0.00057576532708481,0.000405972416047007,joyful,devastated,1
